,id,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,target_x,target_y
127,128,0.061016,1.382708,1.234733,-1.616904,-0.9844,-0.783145,1.173054,1.057095,-1.341457,-0.980509,22.533982,-14.658673
279,280,0.244365,0.98862,1.532187,-1.174902,-1.223277,-0.406114,1.45475,0.771022,-0.803311,-0.980509,18.620608,-16.738679
164,165,2.261206,0.538235,0.223388,0.277392,0.508582,1.007752,0.680087,0.313304,0.930714,0.741869,10.80232,-20.246206
93,94,-0.489031,-1.15071,-0.96643,0.84568,1.404372,0.159432,-0.869237,-1.231494,1.468859,0.741869,4.541347,-8.541584
618,619,-0.855729,-0.869219,-1.501848,1.477112,1.404372,-0.59463,-0.869237,-0.716562,0.631744,1.01745,5.260316,-9.876183
649,650,-0.214007,-0.981816,-0.787957,0.908824,0.508582,-0.500372,-0.446694,-0.888206,0.930714,1.01745,5.521601,-10.339098
1001,1002,-0.214007,1.495304,1.115751,-0.922329,-1.402435,-0.688887,0.961783,1.057095,-1.102281,-1.738355,21.93625,-14.978159
552,553,-0.397357,1.157515,0.937279,-1.680048,-1.282997,-0.877403,0.53924,1.629243,-1.341457,-1.187194,24.946617,-13.371059
478,479,0.33604,1.495304,1.175242,-1.616904,-0.9844,-0.406114,0.609663,1.228739,-1.341457,-0.980509,21.298962,-15.325836
968,969,-0.489031,1.720497,0.758806,-0.985472,-1.163558,-1.914238,0.53924,1.11431,-1.281663,-0.911613,22.576282,-14.642251
13,14,-0.030658,-0.475132,-0.371521,0.656251,0.74746,0.724979,-0.798814,-0.830991,0.27298,0.948555,8.721275,-16.311878
914,915,-0.214007,1.382708,1.234733,-1.238045,-1.462155,-0.217599,0.609663,1.400384,-1.221869,-1.462774,21.57016,-15.164894
589,590,-0.67238,-0.756623,-1.620829,1.603399,0.448863,-0.217599,-1.080509,-0.602132,1.169889,0.052918,3.962748,-7.485899
369,370,-1.589126,1.720497,0.223388,-1.174902,-1.342716,-1.442949,0.116696,1.514813,-1.341457,-0.980509,22.66299,-14.596206
604,605,-0.855729,-0.925518,-1.501848,0.593108,0.389144,0.159432,-1.291781,-1.345924,1.648241,0.397394,3.613252,-6.839364
135,136,-0.489031,-0.925518,-0.96643,1.413969,1.284933,-0.311856,-1.221357,-1.288709,1.528653,0.466289,4.062122,-7.677614
376,377,-0.030658,1.101217,1.472697,-1.743191,-1.462155,-0.783145,1.595597,0.542163,-0.922899,-0.773823,17.515169,-17.330785
199,200,-0.67238,-0.700325,-1.085412,0.719394,1.344653,0.159432,-1.573476,-1.117065,1.169889,0.604079,1.885944,-3.570754
449,450,0.152691,-0.53143,-0.787957,1.161396,0.74746,0.536463,-0.869237,-0.945421,0.512156,0.879659,7.713035,-14.383196
172,173,-1.314102,-0.756623,-0.906939,1.350826,1.225214,0.25369,-1.010085,-0.716562,1.468859,0.672974,3.73658,-7.05966
742,743,1.252786,-0.024747,-0.847448,0.277392,0.508582,1.950329,0.18712,-0.029985,0.392568,0.259603,10.118822,-18.982207
751,752,0.061016,1.157515,1.770151,-1.174902,-1.282997,-1.160176,1.032206,0.542163,-0.922899,-1.531669,20.324777,-15.841469
16,17,1.619484,0.200446,0.461352,-0.417184,0.269705,0.819237,0.609663,0.484948,0.392568,0.879659,10.615208,-19.920355
730,731,0.152691,0.594533,0.877788,-1.174902,-0.924681,-1.065918,0.398392,1.858102,-1.341457,-1.462774,25.002426,-13.342434
546,547,-0.305682,1.495304,1.234733,-1.490618,-0.9844,-0.217599,0.609663,1.228739,-1.341457,-1.256089,22.626003,-14.622991
343,344,0.061016,-0.587729,-0.490503,1.22454,1.284933,0.630721,-1.010085,-1.17428,0.811126,1.844191,8.080184,-15.091731
644,645,0.061016,1.439006,0.996769,-1.553761,-1.04412,-0.217599,0.18712,0.828236,-1.341457,-0.980509,22.738512,-14.565666
442,443,0.061016,-0.869219,-1.144902,1.22454,1.284933,-0.688887,-1.291781,-0.544917,0.332774,0.190708,5.303797,-9.936167
825,826,-1.86415,1.833093,0.520842,-0.985472,-0.924681,-1.442949,0.046273,1.457598,-1.162075,-0.980509,22.644855,-14.606898
774,775,-0.030658,-1.15071,-0.728466,0.719394,1.225214,-0.311856,-1.362204,-1.002635,0.392568,1.224135,5.04596,-9.448326
894,895,0.33604,1.270111,0.461352,-1.490618,-1.282997,-1.160176,0.257544,1.514813,-1.162075,-1.256089,24.210984,-13.760753
1004,1005,-0.397357,1.101217,0.877788,-0.922329,-0.924681,-0.59463,0.468816,1.514813,-0.743517,-1.324984,25.224356,-13.232125
55,56,-0.305682,-1.15071,-0.728466,1.287683,0.986337,0.724979,-0.446694,-0.487703,1.050302,1.086345,7.037129,-13.116689
363,364,1.252786,-0.24994,-0.787957,0.340535,0.448863,2.233103,0.18712,-0.029985,0.27298,0.121813,10.206351,-19.147525
439,440,-0.67238,-0.925518,-1.263884,1.098253,1.404372,-0.217599,-1.362204,-0.830991,0.751332,0.741869,5.080211,-9.533326
993,994,-0.67238,0.819726,0.401861,-0.985472,-1.282997,-0.59463,0.046273,2.08696,-1.281663,-1.256089,27.206578,-12.179315
902,903,-1.405777,-1.432201,-1.620829,0.719394,1.284933,-0.029083,-1.503052,-1.05985,1.289477,0.397394,4.796973,-9.006546
570,571,-0.489031,1.270111,0.461352,-0.859186,-1.462155,-1.537207,0.046273,1.686457,-1.162075,-1.049404,25.584478,-13.037794
817,818,-0.030658,1.044918,0.461352,-0.859186,-0.805242,-1.160176,0.609663,1.457598,-0.922899,-1.049404,25.418196,-13.131398
104,105,-0.305682,-1.263307,-0.371521,1.22454,0.807179,0.25369,-0.517118,-1.231494,0.57195,1.01745,6.269076,-11.704273
999,1000,0.519389,0.144148,0.580333,0.529964,0.269705,0.25369,0.53924,-0.144414,0.27298,0.741869,10.483309,-19.671483
175,176,1.161111,0.481937,0.877788,0.466821,-0.028891,1.761814,0.891359,0.771022,-0.265166,0.672974,11.57318,-20.410571
355,356,0.244365,1.101217,0.520842,-1.680048,-1.163558,-2.102753,0.18712,2.08696,-1.341457,-1.66946,26.898007,-12.340876
575,576,0.061016,0.538235,0.401861,0.529964,0.389144,1.479041,0.468816,0.484948,0.512156,0.948555,10.907858,-20.370502
868,869,-0.397357,-0.869219,-1.025921,1.287683,1.464091,-0.217599,-1.432628,-0.888206,0.631744,0.190708,5.303548,-9.941222
281,282,-1.589126,-1.319605,-1.442357,0.593108,0.986337,-0.783145,-1.150933,-1.231494,1.409065,-0.222662,1.351369,-2.548839
304,305,-0.397357,0.98862,0.401861,-1.364332,-1.342716,-1.348691,0.257544,2.08696,-1.281663,-1.66946,26.380263,-12.617726
268,269,-0.030658,1.495304,0.520842,-1.743191,-1.163558,-1.254434,0.257544,0.828236,-1.341457,-1.049404,23.535557,-14.114284
585,586,-0.855729,-1.263307,-0.96643,0.656251,0.209986,-0.029083,-1.432628,-1.403138,1.767829,0.397394,3.100043,-5.846854
107,108,-0.305682,1.495304,0.818297,-1.680048,-0.9844,-1.442949,0.398392,1.343169,-1.162075,-1.531669,22.181088,-14.853316
1006,1007,-0.67238,1.270111,1.532187,-1.553761,-1.223277,-0.783145,1.313902,0.771022,-1.042487,-1.118299,19.30915,-16.379594
102,103,-0.122333,-1.038114,-0.96643,1.287683,1.046056,1.573298,-1.010085,-1.002635,0.930714,1.086345,6.635464,-12.38644
385,386,2.169532,0.538235,1.115751,0.024819,-0.626084,0.25369,1.173054,0.256089,-0.623929,-0.015977,12.637303,-19.844864
816,817,-0.489031,1.495304,0.401861,-0.922329,-1.282997,-1.631465,0.398392,1.228739,-1.341457,-1.393879,22.051837,-14.91324
374,375,0.152691,1.382708,1.353715,-1.238045,-0.924681,-0.311856,0.609663,0.99988,-1.221869,-1.118299,21.174904,-15.384651
64,65,0.886087,0.425639,1.05626,-0.796043,-0.805242,-0.123341,1.45475,0.484948,-0.863105,-1.324984,15.768682,-18.237382
802,803,1.069437,0.594533,1.353715,-0.985472,-0.924681,0.159432,2.01814,0.599377,-0.623929,-0.842718,16.616709,-17.821385
341,342,-0.489031,0.98862,0.282879,-1.111759,-0.9844,-1.254434,0.327968,2.20139,-1.221869,-1.738355,25.85792,-12.893596
518,519,-0.397357,-0.981816,-1.085412,1.161396,0.568302,-0.783145,-1.291781,-0.945421,0.87092,0.259603,5.83253,-10.89596
61,62,0.702738,-0.925518,-0.371521,0.84568,1.105775,0.819237,-0.305847,-0.430488,0.033804,1.361925,7.435516,-13.861439
121,122,-0.397357,1.495304,0.461352,-1.301188,-1.342716,-0.500372,-1.291781,1.343169,-1.401251,-1.324984,24.795199,-13.455191
372,373,-0.030658,-0.587729,-0.133557,1.098253,0.090547,0.819237,-0.939661,-1.117065,0.57195,1.499716,8.796844,-16.466116
290,291,-0.030658,-0.475132,-1.085412,0.593108,1.284933,0.347948,-0.517118,-0.830991,0.691538,1.568611,7.800461,-14.555975
298,299,-0.947404,-1.15071,-1.025921,1.413969,1.284933,-0.406114,-1.221357,-0.830991,0.392568,0.121813,3.3465,-6.332331
715,716,-0.489031,-1.038114,-1.204393,0.719394,1.225214,-0.217599,-0.869237,-1.403138,0.27298,0.190708,2.431366,-4.582278
761,762,0.152691,1.157515,1.175242,-1.048616,-1.521874,-2.008496,1.595597,0.885451,-1.221869,-1.256089,18.888218,-16.594637
1010,1011,-1.589126,-1.488499,-0.847448,0.719394,0.68774,-0.406114,-0.939661,-1.002635,1.050302,0.604079,1.33687,-2.524167
325,326,-0.580706,-1.038114,-1.144902,1.098253,0.807179,0.724979,-0.798814,-0.659347,1.528653,0.397394,6.871219,-12.829406
392,393,2.169532,0.538235,0.877788,-0.164611,0.090547,0.25369,0.820935,0.713807,-0.384753,0.328499,12.197017,-20.063696
73,74,-0.764055,-1.319605,-1.263884,0.593108,1.284933,-1.254434,-0.939661,-1.403138,-1.042487,-0.084872,2.561118,-4.79336
300,301,-0.489031,0.819726,0.223388,-1.048616,-1.462155,-1.348691,0.18712,2.20139,-1.221869,-1.876145,25.878633,-12.880905
473,474,2.077857,0.256744,0.461352,0.277392,-0.626084,1.196267,1.313902,0.256089,0.153392,-0.360453,11.411174,-20.465408
396,397,-0.855729,-0.925518,-0.728466,1.729685,1.523811,-0.971661,-1.150933,-0.716562,0.811126,0.810764,3.807807,-7.187464
986,987,1.252786,0.200446,1.234733,-0.985472,-0.745523,-0.59463,1.595597,0.427733,-1.341457,-0.911613,16.631466,-17.800283
556,557,-1.130753,-0.981816,-0.847448,1.477112,1.643249,-0.029083,-1.010085,-0.888206,1.528653,0.259603,3.761884,-7.108669
217,218,-0.489031,-0.925518,-0.371521,0.466821,0.807179,1.950329,-0.657966,-0.487703,0.930714,1.29303,8.645016,-16.162572
320,321,1.527809,0.819726,0.877788,-0.669756,-0.685804,-0.406114,1.595597,0.656592,-1.281663,-0.429348,15.022532,-18.631222
923,924,-0.397357,1.101217,1.294224,-1.364332,-0.805242,-2.102753,0.891359,0.656592,-1.221869,-1.462774,20.639287,-15.6692
563,564,-0.67238,-0.756623,-1.323375,0.719394,-0.14833,-0.59463,-1.573476,-1.231494,0.930714,0.879659,1.312505,-2.487777
775,776,-1.497451,-0.925518,-0.906939,0.340535,0.68774,-0.029083,-1.573476,-1.288709,1.468859,0.259603,1.16862,-2.191936
958,959,-1.039079,-1.15071,-1.561339,1.161396,1.284933,-0.029083,-1.080509,-1.17428,0.57195,0.672974,1.625964,-3.053388
569,570,-1.589126,-1.488499,-0.96643,0.593108,0.68774,-0.029083,-1.150933,-1.288709,0.57195,0.397394,1.618669,-3.068277
421,422,0.33604,-0.756623,-0.431012,0.593108,0.508582,1.761814,-0.798814,-0.430488,0.392568,1.706401,8.02573,-14.967048
32,33,0.519389,-1.207009,-0.728466,0.84568,1.284933,1.573298,-0.446694,-0.544917,0.691538,1.568611,8.40253,-15.696952
983,984,1.436135,0.200446,1.234733,0.024819,-0.387207,-0.500372,1.45475,0.713807,-0.324959,-0.704928,15.228727,-18.519832
553,554,0.152691,0.98862,1.353715,-1.301188,-0.9844,-1.160176,0.257544,1.228739,-1.221869,-1.256089,20.776815,-15.599002
650,651,-0.947404,-1.319605,-1.620829,1.603399,1.046056,0.536463,-0.869237,-1.002635,0.631744,1.43082,6.761463,-12.616633
932,933,0.061016,-1.319605,-0.431012,0.908824,0.986337,1.856072,-1.010085,-0.716562,0.811126,1.43082,8.248894,-15.402464
68,69,-1.039079,1.833093,0.461352,-0.859186,-0.924681,-0.783145,0.468816,1.285954,-1.102281,-1.393879,23.441791,-14.179329
601,602,-0.764055,-0.925518,-0.847448,0.971967,1.046056,-0.029083,-1.150933,-0.773776,1.050302,0.672974,4.820466,-9.044966
980,981,0.061016,1.101217,0.461352,-1.048616,-0.9844,-2.6683,0.53924,2.08696,-1.341457,-1.187194,27.045811,-12.26441
984,985,-0.489031,0.763428,1.889133,-0.796043,-1.282997,-0.500372,1.173054,0.713807,-1.162075,-1.393879,19.068258,-16.501978
574,575,0.702738,-0.137343,0.461352,-0.290897,0.269705,2.233103,1.10263,0.084445,0.392568,0.397394,10.547066,-20.002951
885,886,-0.489031,-0.475132,-0.133557,1.161396,0.389144,1.290525,0.046273,-1.231494,0.213186,0.397394,9.036521,-16.927812
699,700,-0.305682,-1.319605,-1.085412,1.540256,1.523811,0.630721,-0.72839,-0.659347,0.631744,0.397394,5.715412,-10.697376
884,885,0.977762,0.425639,0.818297,-0.101468,-0.387207,-0.311856,0.680087,0.427733,-0.205372,-0.498243,13.662796,-19.314053
112,113,0.977762,-0.193641,-0.252539,0.529964,0.508582,0.536463,-0.164999,-0.830991,-0.145578,1.29303,9.878696,-18.521774
114,115,-0.489031,-1.432201,-0.847448,1.540256,0.389144,1.007752,-0.305847,-0.830991,0.990508,0.672974,7.290979,-13.630303
521,522,-0.305682,1.833093,0.34237,-0.985472,-1.04412,-1.254434,0.046273,1.343169,-0.863105,-1.187194,23.272868,-14.261261
695,696,-0.305682,1.551602,0.520842,-1.743191,-1.04412,-1.065918,0.18712,0.656592,-1.281663,-1.118299,23.565923,-14.09643
167,168,-0.030658,-0.362536,-0.193048,1.161396,0.628021,0.630721,-1.291781,-0.544917,0.452362,1.29303,8.774418,-16.447153
911,912,-1.589126,-1.488499,-0.847448,1.03511,0.508582,-0.500372,-1.010085,-1.288709,0.512156,0.535184,1.975135,-3.710373
252,253,0.061016,-0.475132,-0.431012,1.161396,0.74746,1.196267,-1.150933,-0.0872,0.631744,1.43082,9.276072,-17.372779
282,283,-1.222428,-0.981816,-1.263884,1.350826,1.404372,0.065175,-1.010085,-0.716562,1.528653,0.259603,3.711645,-7.012516
267,268,0.427715,-0.24994,-0.490503,1.161396,0.448863,1.196267,-0.869237,-0.430488,0.27298,1.43082,9.278489,-17.394792
614,615,2.077857,-0.137343,0.223388,0.214248,-0.14833,0.819237,0.53924,0.771022,-0.384753,0.121813,12.71647,-19.801027
571,572,-0.214007,-0.925518,-0.728466,0.908824,0.74746,0.630721,-0.939661,-0.888206,1.409065,0.397394,6.545166,-12.225865
295,296,0.33604,0.481937,0.520842,0.151105,0.389144,1.573298,1.10263,0.484948,0.57195,0.328499,10.564219,-19.977068
39,40,0.152691,1.157515,1.353715,-1.553761,-1.103839,-0.971661,0.53924,1.285954,-1.341457,-1.118299,21.709012,-15.099636
703,704,-0.305682,1.382708,0.223388,-1.174902,-1.223277,-1.065918,-0.024151,2.144175,-1.281663,-0.980509,25.814652,-12.904616
284,285,0.061016,-0.869219,-0.847448,1.161396,0.68774,1.007752,-0.587542,-0.830991,0.751332,1.568611,8.182974,-15.275172
525,526,1.069437,0.481937,1.353715,-1.806334,-0.9844,-0.217599,1.525173,0.427733,-0.922899,-0.842718,16.684111,-17.775409
916,917,-0.947404,-0.812921,-0.490503,1.287683,1.284933,1.007752,-0.305847,-0.487703,0.631744,1.706401,8.052981,-15.039259
113,114,-0.305682,-1.488499,-0.847448,1.540256,0.986337,0.347948,-0.869237,-0.659347,0.930714,0.604079,6.129669,-11.449871
256,257,0.152691,-0.24994,0.044915,-0.038324,-0.446927,0.819237,0.398392,-0.144414,0.87092,0.328499,9.717282,-18.230418
809,810,0.152691,1.157515,1.829642,-1.238045,-1.342716,-0.688887,1.45475,0.484948,-1.281663,-1.393879,19.765251,-16.133028
337,338,0.061016,-1.207009,-1.204393,0.403678,0.628021,-0.123341,-1.010085,-1.117065,1.169889,0.604079,4.855383,-9.117809
755,756,0.702738,0.313042,0.639824,0.214248,0.568302,1.856072,0.257544,0.427733,0.512156,0.948555,9.943075,-18.633019
952,953,-0.580706,-1.432201,-1.204393,0.593108,1.046056,-0.217599,-1.080509,-1.403138,1.050302,0.397394,2.131581,-4.05127
425,426,-0.397357,0.481937,0.461352,-0.922329,-1.521874,-1.348691,-0.305847,0.942666,-1.162075,-1.118299,27.033696,-12.268068
263,264,-0.397357,-1.094412,-1.323375,0.340535,1.046056,0.347948,-1.150933,-1.231494,1.409065,0.604079,2.1683,-4.08931
854,855,-0.305682,1.833093,0.877788,-1.680048,-0.9844,-1.254434,0.468816,1.285954,-1.162075,-0.842718,23.076188,-14.369649
388,389,-1.039079,-1.094412,-0.96643,1.287683,0.68774,-0.406114,-1.855171,-1.403138,0.930714,0.328499,3.604247,-6.800017
323,324,0.794413,0.650831,0.699315,0.087962,-0.028891,1.950329,1.10263,0.370518,0.751332,0.604079,11.206672,-20.478752
736,737,-0.030658,1.326409,1.115751,-1.174902,-0.9844,-0.59463,0.53924,0.828236,-1.162075,-1.118299,22.14892,-14.860392
122,123,-0.214007,-0.756623,0.044915,1.098253,0.329424,0.25369,0.257544,-0.716562,0.87092,0.397394,8.682514,-16.256369
921,922,-0.489031,-1.375903,-0.847448,1.03511,0.74746,0.25369,-0.37627,-0.773776,0.751332,1.706401,7.039273,-13.127776
352,353,1.069437,0.707129,1.353715,-0.859186,-0.685804,0.159432,2.01814,0.656592,-0.683723,-0.842718,16.641481,-17.798791
669,670,0.152691,1.101217,-0.193048,-0.985472,-1.342716,-1.914238,-0.164999,2.20139,-1.341457,-1.187194,26.573656,-12.515713
924,925,1.069437,0.707129,0.639824,-1.680048,-0.685804,-0.029083,1.595597,0.484948,-0.803311,-0.704928,16.173951,-18.035378
97,98,-0.397357,-1.094412,-1.68032,0.656251,1.105775,0.724979,-0.939661,-0.830991,0.033804,0.672974,2.623646,-4.947528
744,745,0.886087,-0.587729,-0.014576,0.529964,0.74746,1.761814,-1.503052,-0.487703,0.512156,0.879659,10.01661,-18.782381
301,302,-0.305682,0.932322,1.948624,-1.301188,-1.04412,-1.160176,1.173054,0.942666,-0.982693,-0.773823,19.020189,-16.532115
781,782,-0.489031,-0.981816,-0.490503,0.782537,-0.14833,0.25369,-0.024151,-0.544917,0.512156,-0.084872,8.717577,-16.30074
957,958,0.244365,1.495304,0.877788,-1.616904,-0.805242,-1.914238,0.327968,1.514813,-1.341457,-1.738355,24.501144,-13.613916
844,845,-0.580706,-1.207009,-0.847448,0.84568,1.344653,-0.029083,-0.798814,-1.288709,1.528653,0.328499,2.349217,-4.423418
764,765,-0.305682,-0.981816,-1.025921,0.782537,0.628021,-0.029083,-0.446694,-0.716562,0.930714,0.672974,5.450943,-10.229684
929,930,-0.580706,-0.812921,-1.263884,1.22454,1.643249,-0.217599,-1.291781,-1.002635,1.050302,0.397394,3.359782,-6.341276
971,972,-0.305682,0.932322,-0.014576,-1.616904,-1.103839,-1.914238,0.116696,2.08696,-1.341457,-1.256089,27.275831,-12.139723
1008,1009,-0.122333,1.326409,1.353715,-1.301188,-0.864962,-0.123341,0.468816,1.514813,-1.162075,-1.393879,21.592325,-15.169078
904,905,-0.764055,-1.15071,-1.085412,1.098253,0.926617,0.159432,-1.221357,-1.05985,1.409065,-0.153767,2.912457,-5.477167
418,419,0.977762,0.932322,1.234733,-0.922329,-0.745523,-0.029083,1.806869,0.828236,-1.281663,-0.980509,17.550673,-17.311187
338,339,1.252786,0.650831,1.05626,-0.922329,-0.506646,0.159432,1.313902,0.771022,-0.683723,-1.187194,15.353192,-18.459331
672,673,-1.86415,-1.15071,-1.620829,0.908824,1.225214,-0.217599,-1.362204,-1.288709,1.468859,0.397394,1.495148,-2.81265
766,767,-0.030658,-0.53143,0.580333,0.151105,0.508582,1.573298,0.327968,0.256089,-0.085784,0.948555,9.886213,-18.518167
289,290,-0.122333,0.707129,1.948624,-1.806334,-1.103839,-1.254434,0.891359,1.057095,-0.982693,-0.842718,18.976419,-16.552506
334,335,-1.222428,-1.432201,-0.906939,0.403678,0.448863,-0.029083,-1.432628,-1.231494,0.87092,0.535184,1.716556,-3.238069
543,544,1.34446,-0.024747,0.937279,0.340535,0.030828,1.573298,0.116696,0.313304,0.87092,1.01745,10.742907,-20.146632
998,999,-0.489031,-1.207009,-0.787957,1.287683,1.046056,-0.029083,-0.587542,-0.716562,0.691538,0.535184,5.506172,-10.32479
436,437,-0.67238,-1.038114,-0.906939,0.719394,0.986337,0.25369,-1.291781,-1.231494,0.751332,1.01745,2.131626,-4.005084
212,213,0.152691,-0.53143,-0.490503,1.161396,1.284933,1.573298,-0.446694,-0.830991,0.512156,1.706401,7.779716,-14.509716
502,503,-0.214007,0.876024,0.877788,-1.111759,-1.04412,-1.065918,0.468816,1.743672,-0.803311,-1.462774,24.689079,-13.511474
229,230,-0.122333,0.819726,0.104406,-1.743191,-1.103839,-1.442949,0.18712,2.08696,-1.341457,-1.324984,27.287416,-12.130625
600,601,-0.122333,-1.094412,-0.96643,1.603399,1.464091,0.065175,-0.446694,-0.945421,0.751332,0.535184,5.736969,-10.722445
42,43,-0.305682,-0.700325,-0.668975,0.277392,0.68774,1.007752,-0.869237,-1.345924,1.110095,0.948555,6.69327,-12.527645
794,795,1.069437,0.932322,0.996769,-0.922329,-1.04412,-1.537207,1.595597,-0.602132,-0.922899,-0.911613,16.185532,-18.03925
305,306,-0.67238,0.819726,0.877788,-1.427475,-1.402435,-2.385527,0.327968,1.972531,-1.221869,-1.187194,26.058855,-12.789574
435,436,-2.139173,-1.319605,-1.739811,0.656251,0.68774,-0.406114,-1.291781,-1.288709,1.648241,0.466289,1.377552,-2.592044
155,156,-0.397357,-0.925518,-1.68032,0.782537,0.448863,-0.029083,-1.010085,-1.345924,1.050302,0.604079,4.951253,-9.272258
20,21,-0.67238,-1.488499,-1.799302,0.087962,0.926617,-0.500372,-1.573476,-1.345924,1.767829,0.397394,2.410425,-4.542427
422,423,0.33604,0.707129,1.234733,-0.859186,-1.342716,-0.029083,1.666021,0.942666,-0.803311,-1.324984,17.717513,-17.223197
531,532,-0.030658,0.707129,1.770151,-1.238045,-1.462155,-0.783145,1.525173,0.713807,-1.102281,-0.980509,18.496637,-16.80391
824,825,0.33604,0.876024,1.05626,-0.669756,-0.745523,-0.217599,1.525173,0.713807,-1.341457,-0.567138,14.910002,-18.683053
665,666,2.077857,0.650831,0.937279,0.024819,-1.04412,0.25369,1.384326,0.313304,-0.444547,-0.015977,13.589931,-19.359159
748,749,1.252786,-0.418834,-0.371521,0.529964,0.508582,1.950329,-0.164999,-0.487703,0.512156,0.948555,9.96481,-18.678987
197,198,0.061016,-0.869219,-0.847448,1.161396,0.986337,0.630721,-1.925595,-0.487703,0.213186,0.948555,7.256876,-13.535471
260,261,-1.222428,1.833093,0.580333,-0.796043,-0.9844,-0.500372,0.257544,1.343169,-1.162075,-1.66946,23.087243,-14.36031
163,164,0.33604,-1.038114,-0.609484,0.971967,0.74746,0.819237,-0.657966,-0.659347,0.930714,1.29303,7.301947,-13.620716
403,404,-0.489031,-1.375903,-0.847448,0.403678,0.986337,0.630721,-1.010085,-1.05985,0.691538,-0.291557,5.518514,-10.35855
611,612,1.252786,-0.024747,-0.668975,0.277392,0.74746,1.007752,0.116696,-0.0872,-0.085784,1.224135,9.692293,-18.142265
144,145,-1.772475,-1.319605,-1.204393,0.529964,0.389144,-0.688887,-0.869237,-1.288709,1.588447,0.397394,1.135492,-2.140359
863,864,-0.397357,1.270111,0.520842,-1.616904,-1.462155,-1.160176,0.53924,1.972531,-1.102281,-1.256089,26.345712,-12.637164
735,736,0.152691,1.270111,0.34237,-1.364332,-1.282997,-1.254434,0.257544,1.457598,-1.341457,-1.462774,24.256032,-13.748606
578,579,-0.030658,-1.15071,-1.085412,1.287683,0.926617,0.347948,-0.869237,-1.460353,1.409065,0.604079,7.074849,-13.195622
57,58,1.619484,0.707129,0.877788,0.151105,-0.685804,1.573298,0.820935,0.084445,0.27298,0.466289,11.114417,-20.469622
490,491,-0.214007,1.495304,0.223388,-0.985472,-0.864962,-1.160176,-0.024151,1.572028,-1.281663,-1.256089,24.950696,-13.377228
119,120,0.061016,-0.306238,0.223388,0.024819,0.030828,1.761814,0.680087,0.427733,0.512156,0.397394,10.560588,-19.925624
881,882,-0.305682,0.481937,0.461352,-1.553761,-1.402435,-1.725722,0.257544,2.08696,-1.162075,-1.531669,26.291417,-12.663088
14,15,-0.67238,-1.094412,-1.323375,0.151105,0.807179,-0.311856,-1.291781,-1.231494,1.708035,0.672974,2.104082,-3.935166
514,515,-0.67238,-0.700325,-1.501848,1.477112,1.464091,-0.217599,-1.784747,-0.602132,0.751332,0.879659,5.296132,-9.946431
495,496,0.794413,0.313042,0.34237,0.214248,0.568302,2.32736,-0.024151,-1.117065,0.153392,1.15524,9.911762,-18.563741
797,798,0.427715,0.932322,0.877788,-0.54347,-1.462155,-0.500372,1.736445,0.313304,-0.803311,-0.704928,16.27986,-17.981499
849,850,-0.122333,1.495304,0.34237,-1.048616,-0.805242,-0.406114,0.53924,1.400384,-1.461045,-0.842718,24.02029,-13.868521
